CNAE|Subdivisao
78.3|Fornecimento e<br>gestão de<br>recursos humanos<br>para terceiros
79.1|Agências de<br>viagens e<br>operadores<br>turísticos
79.9|Serviços de<br>reservas e outros<br>serviços de<br>turismo...
80.1|Atividades de<br>vigilância,<br>segurança privada<br>e transporte...
80.2|Atividades de<br>monitoramento de<br>sistemas de<br>segurança
80.3|Atividades de<br>investigação<br>particular
81.1|Serviços<br>combinados para<br>apoio a<br>edifícios
81.2|Atividades de<br>limpeza
81.3|Atividades<br>paisagísticas
82.1|Serviços de<br>escritório e<br>apoio<br>administrativo
82.2|Atividades de<br>teleatendimento
82.3|Atividades de<br>organização de<br>eventos, exceto<br>culturais...
82.9|Outras<br>atividades de<br>serviços prestados<br>principalmente...
84.1|Administração do<br>estado e da<br>política econômica<br>e social
84.2|Serviços<br>coletivos<br>prestados pela<br>administração...
84.3|Seguridade<br>social<br>obrigatória
85.1|Educação<br>infantil e ensino<br>fundamental
85.2|Ensino médio
85.3|Educação<br>superior
85.4|Educação<br>profissional de<br>nível técnico e<br>tecnológico
85.5|Atividades de<br>apoio à educação
85.9|Outras<br>atividades de<br>ensino
86.1|Atividades de<br>atendimento<br>hospitalar
86.2|Serviços móveis<br>de atendimento a<br>urgências e de<br>remoção...
86.3|Atividades de<br>atenção<br>ambulatorial<br>executadas por...
86.4|Atividades de<br>serviços de<br>complementação<br>diagnóstica...
86.5|Atividades de<br>profissionais da<br>área de saúde,<br>exceto...
86.6|Atividades de<br>apoio à gestão de<br>saúde
86.9|Atividades de<br>atenção à saúde<br>humana não<br>especificadas...
87.1|Atividades de<br>assistência a<br>idosos,<br>deficientes...
87.2|Atividades de<br>assistência<br>psicossocial e à<br>saúde a...
87.3|Atividades de<br>assistência social<br>prestadas em<br>residências...
88.0|Serviços de<br>assistência social<br>sem alojamento
90.0|Atividades<br>artísticas,<br>criativas e de<br>espetáculos
91.0|Atividades<br>ligadas ao<br>patrimônio cultural<br>e ambiental
92.0|Atividades de<br>exploração de<br>jogos de azar e<br>apostas
93.1|Atividades<br>esportivas
93.2|Atividades de<br>recreação e lazer
94.1|Atividades de<br>organizações<br>associativas<br>patronais...
94.2|Atividades de<br>organizações<br>sindicais
94.3|Atividades de<br>associações de<br>defesa de direitos<br>sociais
94.9|Atividades de<br>organizações<br>associativas não<br>especificadas...
95.1|Reparação e<br>manutenção de<br>equipamentos de<br>informática...
95.2|Reparação e<br>manutenção de<br>objetos e<br>equipamentos...
96.0|Outras<br>atividades de<br>serviços pessoais
97.0|Serviços<br>domésticos
99.0|Organismos<br>internacionais e<br>outras instituições<br>extraterritoriais
